title,genres,year
Motherhood,"Comedy,Drama",2009
Free Style,"Drama,Family",2008
Strangerland,"Drama,Thriller",2015
Blonde Ambition,"Comedy,Romance",2007
The Oxford Murders,"Crime,Mystery,Thriller",2008
The Reef,"Drama,Horror,Thriller",2010
Eulogy,"Comedy,Drama",2004
White Noise 2: The Light,"Thriller,Drama,Horror,Fantasy",2007
Beat the World,"Music,Drama",2011
Fifty Dead Men Walking,"Action,Thriller",2008
Jungle Shuffle,"Family,Animation,Adventure",2014
Adam Resurrected,"Drama,War",2008
Of Horses and Men,"Drama,Romance,Comedy",2013
It's a Wonderful Afterlife,"Comedy,Romance",2010
The Devil's Tomb,"Action,Horror,Thriller,Science Fiction",2009
Partition,"Drama,Foreign,Romance",2007
"The Good, The Bad, The Weird","Action,Adventure,Comedy,Western",2008
Nurse 3-D,"Horror,Thriller",2013
Gunless,"Drama,Action,Comedy,Western",2010
The Lost City,"Drama,Romance",2005
You Only Live Twice,"Action,Thriller,Adventure",1967
Plastic,"Drama,Action,Comedy,Crime",2014
Amour,"Drama,Romance",2012
Poltergeist III,"Horror,Thriller",1988
Re-Kill,"Horror,Science Fiction",2015
"It's a Mad, Mad, Mad, Mad World","Action,Adventure,Comedy,Crime",1963
Volver,"Comedy,Drama,Romance",2006
Heavy Metal,"Animation,Science Fiction",1981
Gentlemen Broncos,"Action,Comedy,Thriller",2009
Richard III,"Drama,War",1995
Into the Grizzly Maze,"Action,Horror,Thriller",2015
Kites,"Drama,Action,Romance",2010
Melancholia,"Drama,Science Fiction",2011
Red Dog,"Drama,Comedy,Family",2011
Jab Tak Hai Jaan,"Drama,Romance",2012
Alien,"Horror,Action,Thriller,Science Fiction",1979
The Runaways,"Drama,Music",2010
Fiddler on the Roof,"Drama,Romance",1971
Thunderball,"Adventure,Action,Thriller",1965
Detention,"Horror,Comedy,Science Fiction",2011
Loose Cannons,"Comedy,Drama,Romance",2010
Set It Off,"Drama,Action,Crime",1996
The Best Man,"Drama,Comedy",1999
Child's Play,"Horror,Thriller",1988
The Purge: Anarchy,"Horror,Thriller",2014
Down to You,"Comedy,Drama,Family,Romance",2000
Harold & Kumar Go to White Castle,"Comedy,Adventure",2004
The Contender,"Drama,Thriller",2000
Boiler Room,"Crime,Drama,Thriller",2000
Black Christmas,"Horror,Thriller",2006
Breakin' All the Rules,"Comedy,Romance",2004
Henry V,"War,Drama,History,Action,Romance",1989
Chasing Papi,"Comedy,Romance",2003
The Way of the Gun,"Action,Crime,Drama,Thriller",2000
Igby Goes Down,"Comedy,Drama",2002
The Ultimate Gift,"Romance,Drama,Family",2006
The Ice Pirates,"Action,Science Fiction,Comedy",1984
Trust the Man,"Comedy,Drama,Romance",2005
Hamlet 2,"Comedy,Music",2008
Velvet Goldmine,"Drama,Music",1998
The Wailing,"Horror,Mystery",2016
Glee: The Concert Movie,"Documentary,Music,Family",2011
The Legend of Suriyothai,"Drama,Foreign,History,War",2001
Two Evil Eyes,"Horror,Thriller",1990
All or Nothing,"Comedy,Drama",2002
Opal Dream,"Drama,Family,Foreign",2006
Flame & Citron,"Crime,Drama,History,War",2008
Undiscovered,"Comedy,Romance",2005
Red Riding: In the Year of Our Lord 1974,"Thriller,Mystery,Crime,Drama",2009
The Girl on the Train,"Drama,Romance",2009
Veronika Decides to Die,"Drama,Romance",2009
Crocodile Dundee,"Adventure,Comedy",1986
"Ultramarines: A Warhammer 40,000 Movie","Animation,Science Fiction",2010
The I Inside,"Thriller,Mystery,Science Fiction",2004
Beneath Hill 60,"Drama,History,War",2010
Awake,"Thriller,Crime,Mystery",2007
Star Wars: Clone Wars: Volume 1,"Action,Adventure,Animation,Fantasy,Science Fiction",2005
Skin Trade,"Thriller,Action,Drama",2014
The Lost Boys,"Horror,Comedy",1987
Crazy Heart,"Drama,Music,Romance",2009
The Rose,"Drama,Music,Romance",1979
Shipwrecked,"Adventure,Family",1990
The DUFF,"Romance,Comedy",2015
Glitter,"Drama,Romance",2001
The Haunting in Connecticut 2: Ghosts of Georgia,"Horror,Drama,Thriller",2013
Silmido,"Action,Drama,History",2003
Bright Star,"Drama,Romance",2009
My Name Is Khan,"Drama,Romance",2010
All Is Lost,"Action,Adventure,Drama",2013
Limbo,"Adventure,Drama,Thriller",1999
Namastey London,"Drama,Foreign,Romance",2007
The Wind That Shakes the Barley,"Drama,History,War",2006
Quo Vadis,"Drama,History,Romance",1951
Repo! The Genetic Opera,"Horror,Comedy,Music,Science Fiction",2008
Valley of the Wolves: Iraq,"Adventure,Drama,Action",2006
Pulp Fiction,"Thriller,Crime",1994
The Muppet Movie,"Adventure,Comedy,Family",1979
Nightcrawler,"Crime,Drama,Thriller",2014
Club Dread,"Comedy,Horror",2004
The Sound of Music,"Drama,Family,Music,Romance",1965
Splash,"Comedy,Fantasy,Romance",1984
Little Miss Sunshine,"Comedy,Drama",2006
Stand by Me,"Crime,Drama",1986
28 Days Later,"Horror,Thriller,Science Fiction",2002
Escape from Alcatraz,"Crime,Drama",1979
Brown Sugar,"Comedy,Romance",2002
A Thin Line Between Love and Hate,"Comedy,Thriller,Crime,Romance",1996
50/50,"Comedy,Drama",2011
Shutter,"Horror,Mystery,Thriller",2008
That Awkward Moment,"Comedy,Romance",2014
Much Ado About Nothing,"Drama,Comedy,Romance",1993
On Her Majesty's Secret Service,"Adventure,Action,Thriller",1969
New Nightmare,"Horror,Thriller,Mystery,Fantasy",1994
Drive Me Crazy,"Drama,Comedy,Romance,Family",1999
Half Baked,"Comedy,Crime",1998
American Psycho,"Thriller,Drama,Crime",2000
The Good Girl,"Drama,Comedy,Romance",2002
Bon Cop Bad Cop,"Action,Comedy,Crime",2006
The Boondock Saints II: All Saints Day,"Action,Thriller,Crime",2009
Enough Said,"Comedy,Drama,Romance",2013
The Inkwell,"Comedy,Drama,Romance",1994
Shadow of the Vampire,"Drama,Horror",2000
The Pallbearer,"Comedy,Romance",1996
Woman on Top,"Comedy,Drama,Romance",2000
Howards End,"Drama,Romance",1992
Anomalisa,"Animation,Comedy,Drama,Romance",2015
Another Year,"Comedy,Drama",2010
8 Women,"Comedy,Thriller,Music,Crime,Mystery",2002
Showdown in Little Tokyo,"Action,Thriller",1991
Clay Pigeons,"Comedy,Crime,Drama,Thriller",1998
It's Kind of a Funny Story,"Comedy,Drama",2010
Made in Dagenham,"Comedy,Drama,History",2010
Prefontaine,"Drama,Romance",1997
The Wicked Lady,"Drama,Adventure",1983
The Secret of Kells,"Animation,Family,Fantasy",2009
Begin Again,"Comedy,Music,Romance,Drama",2013
Down in the Valley,"Drama,Romance",2005
Brooklyn Rules,"Drama,Action,Thriller",2007
Restless,"TV Movie,Romance,Drama",2012
The Singing Detective,"Comedy,Music,Mystery,Crime",2003
The Land Girls,"Drama,Romance,War",1998
Fido,"Romance,Comedy,Drama,Horror",2006
The Wendell Baker Story,"Comedy,Drama,Romance",2005
Wild Target,"Action,Comedy",2010
Pathology,"Crime,Horror,Thriller",2008
10th & Wolf,"Action,Crime,Drama,Mystery,Thriller",2006
Dear Wendy,"Comedy,Crime,Drama,Romance",2005
Akira,"Science Fiction,Animation",1988
The Death and Life of Bobby Z,"Drama,Action,Thriller,Crime",2007
Swelter,"Action,Drama,Thriller",2014
My Lucky Star,"Comedy,Romance",2013
Imagine Me & You,"Drama,Comedy,Romance",2005
Swimming Pool,"Thriller,Crime",2003
Green Street Hooligans: Underground,"Action,Drama",2013
The Blood of Heroes,"Action,Adventure,Science Fiction",1989
Code of Honor,"Action,Crime,Thriller",2016
Driving Miss Daisy,"Comedy,Drama",1989
Soul Food,"Comedy,Drama",1997
Rumble in the Bronx,"Crime,Action,Comedy,Thriller",1995
Far from Men,"Drama,War",2014
Thank You for Smoking,"Comedy,Drama",2005
An Education,"Drama,Romance",2009
Shopgirl,"Comedy,Drama,Romance",2005
The Hotel New Hampshire,"Comedy,Drama",1984
Narc,"Action,Crime,Drama,Thriller",2002
Witless Protection,"Action,Adventure,Comedy,Crime",2008
The Work and the Glory,"Drama,Romance",2004
Masked and Anonymous,"Drama,Music",2003
Betty Fisher and Other Stories,"Drama,Thriller,Crime,Foreign",2001
Code 46,"Drama,Romance,Science Fiction,Thriller",2003
Black November,"Drama,Action,Crime",2012
Ta Ra Rum Pum,"Family,Comedy,Romance",2007
Persepolis,"Animation,Drama",2007
The Hole,"Thriller,Adventure,Fantasy",2009
The Wave,"Drama,Thriller",2008
The Neon Demon,"Thriller,Horror",2016
Harry Brown,"Thriller,Crime,Drama,Action",2009
The Omega Code,"Horror,Thriller",1999
Juno,"Comedy,Drama,Romance",2007
Diamonds Are Forever,"Adventure,Action,Thriller",1971
The Godfather,"Drama,Crime",1972
Flashdance,"Drama,Music,Romance",1983
(500) Days of Summer,"Comedy,Drama,Romance",2009
The Piano,"Drama,Romance",1993
Magic Mike,"Drama,Comedy",2012
Darkness Falls,"Thriller,Horror",2003
Live and Let Die,"Adventure,Action,Thriller",1973
My Dog Skip,"Comedy,Drama,Family",2000
"Definitely, Maybe","Comedy,Romance",2008
"Good Night, and Good Luck.","Drama,History",2005
Capote,"Crime,Drama",2005
Desperado,"Thriller,Action,Crime",1995
Logan's Run,"Adventure,Action,Romance,Science Fiction",1976
The Man with the Golden Gun,"Adventure,Action,Thriller",1974
Action Jackson,"Action,Adventure,Comedy,Crime,Drama",1988
The Descent,"Adventure,Horror",2005
Flirting with Disaster,"Comedy,Romance",1996
The Devil's Rejects,"Drama,Horror,Crime",2005
Dope,"Crime,Drama,Comedy",2015
In Too Deep,"Drama,Action,Thriller,Crime",1999
Alien Zone,"Horror,Action,Thriller,Science Fiction",1978
A Serious Man,"Comedy,Drama",2009
Get Low,"Comedy,Drama,Mystery",2010
Warlock,"Adventure,Comedy,Fantasy,Horror",1989
Beyond the Lights,"Romance,Drama",2014
A Single Man,"Drama,Romance",2009
Outside Providence,"Romance,Comedy,Drama",1999
Bride & Prejudice,"Drama,Comedy,Music,Romance",2004
Rabbit-Proof Fence,"Adventure,Drama,Action,History",2002
Split Second,"Thriller,Action,Horror,Science Fiction,Crime",1992
The Other Side of Heaven,"Action,Adventure,Drama,Family",2001
Veer-Zaara,"Drama,Romance",2004
Cyrus,"Comedy,Drama,Romance",2010
A Dog Of Flanders,"Drama,Family",1999
Auto Focus,"Drama,Crime",2002
We Need to Talk About Kevin,"Drama,Thriller",2011
The Christmas Candle,"Drama,Family",2013
The Mighty Macs,"Action,Drama",2009
Mother and Child,"Drama,Romance",2009
March or Die,"Action,Adventure,Drama,War",1977
The Visitors,"Fantasy,Comedy,Science Fiction",1993
Somewhere,"Comedy,Drama",2010
I Hope They Serve Beer in Hell,"Comedy,Drama",2009
Dom Hemingway,"Comedy,Crime,Drama",2013
Gerry,"Mystery,Drama,Adventure",2002
The Heart of Me,"Drama,Romance",2002
Freeheld,"Romance,Drama",2015
Hard to Be a God,"Drama,Science Fiction",2013
Ca$h,"Crime,Thriller,Comedy",2010
The Boondock Saints,"Action,Thriller,Crime",1999
Z Storm,"Crime,Thriller",2014
Twixt,"Horror,Thriller",2011
The Snow Queen,"Animation,Fantasy",2012
Alpha and Omega: The Legend of the Saw Tooth Cave,"Family,Animation,Comedy,Adventure",2014
Pale Rider,"Romance,Western",1985
Stargate: The Ark of Truth,"Adventure,Science Fiction",2008
Dazed and Confused,"Comedy,Drama",1993
High School Musical 2,"Comedy,Drama,Family,Music",2007
Two Lovers and a Bear,"Drama,Romance",2016
Criminal Activities,"Thriller,Crime,Drama",2015
Aimee & Jaguar,"Drama,History,Romance",1999
The Chumscrubber,"Comedy,Drama",2005
Shade,"Action,Thriller,Crime",2003
House at the End of the Street,"Horror,Thriller",2012
Incendies,"Drama,War,Mystery",2010
"Remember Me, My Love","Drama,Comedy,Romance",2003
Perrier’s Bounty,"Action,Comedy,Crime,Drama",2009
Elite Squad,"Drama,Action,Crime",2007
Bran Nue Dae,"Comedy,Drama,Foreign,Romance",2009
Boyz n the Hood,"Crime,Drama",1991
La Bamba,"Drama,Music",1987
The Four Seasons,"Comedy,Drama,Romance",1981
Dressed to Kill,"Horror,Mystery,Thriller",1980
The Adventures of Huck Finn,"Action,Adventure,Drama,Family",1993
Go,"Crime,Comedy,Thriller",1999
Friends with Money,"Comedy,Drama,Romance",2006
The Andromeda Strain,"Science Fiction,Thriller",1971
Bats,"Horror,Thriller",1999
Layer Cake,"Drama,Thriller,Crime",2004
The East,"Drama,Thriller",2013
A Home at the End of the World,"Romance,Drama",2004
Aberdeen,"Drama,Comedy,Foreign",2000
The Messenger,"Drama,History",2009
Tracker,"Action,Drama,Thriller,Adventure",2010
The Terminator,"Action,Thriller,Science Fiction",1984
"Good bye, Lenin!","Comedy,Drama,Romance",2003
The Return of the Living Dead,"Comedy,Horror",1985
Mallrats,"Romance,Comedy",1995
Platoon,"Drama,War,Action",1986
Butch Cassidy and the Sundance Kid,"History,Drama,Western,Crime",1969
Mary Poppins,"Comedy,Family,Fantasy",1964
West Side Story,"Crime,Drama,Music",1961
The Brothers,"Comedy,Drama,Romance",2001
The Wood,"Comedy,Drama,Romance",1999
The Usual Suspects,"Drama,Crime,Thriller",1995
A Nightmare on Elm Street 5: The Dream Child,"Horror,Thriller",1989
National Lampoon’s Van Wilder,"Comedy,Romance",2002
The Wrestler,"Drama,Romance",2008
Escape from New York,"Science Fiction,Action",1981
School Daze,"Comedy,Drama",1988
Daddy Day Camp,"Comedy,Family",2007
Mr. Nice Guy,"Crime,Action,Comedy",1997
A Mighty Wind,"Comedy,Music",2003
Mystic Pizza,"Comedy,Drama,Romance",1988
Sliding Doors,"Comedy,Drama,Fantasy,Romance",1998
Tales from the Hood,"Crime,Horror,Thriller",1995
Halloween 5: The Revenge of Michael Myers,"Horror,Thriller",1989
Bernie,"Comedy,Crime,Drama",2012
Pollock,"Drama,Romance",2000
200 Cigarettes,"Comedy,Drama,Romance",1999
The Words,"Drama,Thriller",2012
Casa De Mi Padre,"Comedy,Western",2012
City Island,"Drama,Comedy",2009
The Guard,"Action,Comedy,Thriller,Crime",2011
The Virgin Suicides,"Drama,Romance",1999
Little Voice,"Comedy,Drama",1998
Miss March,"Comedy,Romance",2009
Wish I Was Here,"Drama,Comedy",2014
Hedwig and the Angry Inch,"Comedy,Music",2001
Goddess of Love,"Mystery,Drama,Thriller,Horror",2015
Shattered Glass,"Drama,History",2003
Novocaine,"Comedy,Crime,Thriller",2001
The Business of Strangers,"Drama,Thriller",2001
The Wild Bunch,"Adventure,Western",1969
The First Great Train Robbery,"Thriller,Adventure,Drama,Crime",1979
Beastmaster 2: Through the Portal of Time,"Action,Adventure,Fantasy,Science Fiction",1991
Snow Flower and the Secret Fan,"Drama,History",2011
Come Early Morning,"Drama,Romance",2006
Lucky Break,"Action,Comedy",2001
11:14,"Crime,Drama,Thriller",2003
Men of War,"Action,Thriller",1994
Don McKay,"Crime,Mystery,Thriller",2009
Deadfall,"Crime,Drama,Thriller",2012
A Shine of Rainbows,"Drama,Family",2009
The Hit List,"Action,Thriller",2011
Emma,"Romance,Comedy,Drama",2009
Videodrome,"Horror,Mystery,Science Fiction",1983
The Spanish Apartment,"Drama,Comedy,Romance",2002
Winter in Wartime,"Drama,History,War",2008
The Train,"Action,Drama,Thriller,War",1964
Trade Of Innocents,"Drama,Thriller",2012
The Protector,"Action,Crime,Drama,Thriller",2005
Bend It Like Beckham,"Comedy,Drama,Romance",2002
Crossover,"Action,Adventure,Drama",2006
Khiladi 786,"Action,Comedy",2012
[REC]²,"Thriller,Horror",2009
Standing Ovation,"Comedy,Music,Family",2010
The Sting,"Comedy,Crime,Drama",1973
Chariots of Fire,"Drama,History",1981
Diary of a Mad Black Woman,"Comedy,Drama,Romance",2005
Don Jon,"Romance,Comedy,Drama",2013
Ghost World,"Comedy,Drama",2001
Iris,"Drama,Romance",2001
Galaxina,"Comedy,Science Fiction",1980
Mambo Italiano,"Comedy,Romance",2003
Wonderland,"Crime,Drama,Mystery,Thriller",2003
Le Havre,"Drama,Comedy",2011
Irreversible,"Drama,Thriller,Crime,Mystery",2002
R100,"Comedy,Drama",2013
Salvation Boulevard,"Comedy,Thriller,Action,Drama",2011
A Room for Romeo Brass,"Drama,Comedy,Foreign",1999
Headhunters,"Thriller,Crime",2011
Grabbers,"Science Fiction,Comedy,Thriller,Horror",2012
Saint Ralph,"Comedy,Drama",2004
Somewhere in Time,"Science Fiction,Drama,Fantasy,Romance",1980
Dum Maaro Dum,"Drama,Action,Crime,Foreign",2011
Insidious: Chapter 2,"Horror,Thriller",2013
10 Cloverfield Lane,"Thriller,Science Fiction,Drama",2016
Jackass: The Movie,"Documentary,Comedy",2002
Lights Out,"Horror,Thriller",2016
A Nightmare on Elm Street 3: Dream Warriors,"Horror,Thriller",1987
Instructions Not Included,"Comedy,Drama",2013
Freddy's Dead: The Final Nightmare,"Horror,Thriller,Comedy",1991
Monster,"Crime,Drama",2003
"20,000 Leagues Under the Sea","Adventure,Drama,Science Fiction",1954
Paranormal Activity: The Marked Ones,"Horror,Thriller",2014
The Elephant Man,"Drama,History",1980
Dallas Buyers Club,"Drama,History",2013
The Lazarus Effect,"Thriller,Horror",2015
Memento,"Mystery,Thriller",2000
Billy Elliot,"Drama,Comedy,Music",2000
The Way Way Back,"Comedy,Drama",2013
The Man from Snowy River,"Family,Drama,Action,Western,Romance",1982
Doug's 1st Movie,"Animation,Family,Comedy",1999
Our Idiot Brother,"Comedy,Drama",2011
Race,"Action,Drama",2016
"As Above, So Below","Horror,Thriller",2014
Addicted,"Drama,Thriller",2014
The Egyptian,"History,Drama",1954
Nighthawks,"Action,Crime,Thriller",1981
Friday the 13th Part VIII: Jason Takes Manhattan,"Horror,Thriller",1989
My Big Fat Greek Wedding,"Comedy,Drama,Romance",2002
Spring Breakers,"Drama,Crime",2013
Halloween: The Curse of Michael Myers,"Horror,Thriller",1995
Y Tu Mamá También,"Drama,Romance",2001
Shaun of the Dead,"Horror,Comedy",2004
The Haunting of Molly Hartley,"Drama,Horror",2008
Lone Star,"Drama,Mystery,Romance",1996
Halloween 4: The Return of Michael Myers,"Horror,Thriller",1988
April Fool's Day,"Horror,Mystery",1986
Diner,"Comedy,Drama",1982
Lone Wolf McQuade,"Action,Crime,Drama,Romance,Thriller,Western",1983
Apollo 18,"Horror,Thriller,Science Fiction",2011
Sunshine Cleaning,"Comedy,Drama",2008
No Escape,"Action,Thriller",2015
The Beastmaster,"Action,Fantasy",1982
Solomon and Sheba,"Drama,History,Romance,War",1959
Fifty Shades of Black,"Romance,Comedy",2016
Not Easily Broken,"Drama,Romance",2009
A Farewell to Arms,"Drama,Romance,War",1932
The Perfect Match,"Comedy,Romance",2016
Digimon: The Movie,"Fantasy,Animation,Science Fiction,Family",2000
Saved!,"Comedy,Drama",2004
The Barbarian Invasions,"Comedy,Crime,Drama",2003
Robin and Marian,"Action,Adventure,Drama,Romance",1976
The Forsaken,"Action,Adventure,Horror,Thriller",2001
Force 10 from Navarone,"Action,Adventure,War,Thriller",1978
Slums of Beverly Hills,"Comedy,Drama",1998
Made,"Action,Comedy,Thriller",2001
Moon,"Science Fiction,Drama",2009
Of Gods and Men,"Drama,History",2010
Bottle Shock,"Comedy,Drama",2008
Jekyll and Hyde ... Together Again,"Comedy,Horror,Science Fiction",1982
Heavenly Creatures,"Drama,Fantasy",1994
Everything Must Go,"Comedy,Drama,Romance",2010
Zero Effect,"Comedy,Crime,Mystery,Thriller",1998
The Machinist,"Thriller,Drama",2004
Light Sleeper,"Drama,Crime",1992
Kill the Messenger,"Thriller,Crime,Drama,Mystery",2014
Party Monster,"Comedy,Drama,Crime",2003
Green Room,"Horror,Crime,Thriller",2016
The Oh in Ohio,"Comedy,Drama,Romance",2006
Atlas Shrugged Part III: Who is John Galt?,"Drama,Science Fiction,Mystery",2014
Bottle Rocket,"Comedy,Crime,Drama",1996
Albino Alligator,"Crime,Drama,Thriller",1996
"Gandhi, My Father","Drama,Foreign,History",2007
Tucker and Dale vs Evil,"Comedy,Horror",2010
"Lovely, Still","Drama,Romance",2008
Tycoon,"Action,Drama,Romance",1947
Desert Blue,"Comedy,Drama",1999
Decoys,"Horror,Science Fiction,Thriller",2004
The Visit,"Horror,Thriller",2015
Redacted,"Drama,War",2007
Fascination,"Romance,Thriller",2004
Area 51,"Horror,Thriller,Science Fiction",2015
The Cottage,"Horror,Comedy,Crime,Thriller",2008
Dead Like Me: Life After Death,"Drama,Fantasy,Comedy",2009
Farce of the Penguins,"Comedy,Documentary",2006
Rudderless,"Music,Drama,Comedy",2014
Henry & Me,"Family,Animation",2014
Christmas Eve,"Romance,Comedy",2015
We Have Your Husband,"TV Movie,Crime,Drama,Thriller",2011
Dying of the Light,"Thriller,Drama",2014
Born Of War,"Action,Thriller,War",2013
Capricorn One,"Drama,Action,Thriller,Science Fiction",1977
Should've Been Romeo,"Comedy,Drama",2012
Yoga Hosers,"Comedy,Fantasy,Horror,Thriller",2016
Navy Seals vs. Zombies,"Horror,Action",2015
I Served the King of England,"Comedy,Drama",2006
Soul Kitchen,"Drama,Comedy",2009
The Awakening,"Horror,Thriller",2011
A Cock and Bull Story,"Comedy,Drama",2005
Take Shelter,"Thriller,Drama",2011
Lady in White,"Horror,Thriller",1988
Driving Lessons,"Drama,Comedy",2006
Only God Forgives,"Drama,Thriller,Crime",2013
Camping Sauvage,"Drama,Romance",2005
Without Men,"Comedy,Romance",2011
Dear Frankie,"Drama,Family",2004
All Hat,"Action,Comedy,Drama,Western",2007
The Names of Love,"Drama,Comedy,Romance",2010
Treading Water,"Drama,Comedy",2013
Police Academy,"Comedy,Crime",1984
The Blue Lagoon,"Romance,Adventure,Drama",1980
Four Weddings and a Funeral,"Comedy,Drama,Romance",1994
Moby Dick,"Adventure,Drama",1956
25th Hour,"Crime,Drama",2002
Bound,"Crime,Drama,Romance,Thriller",1996
Requiem for a Dream,"Crime,Drama",2000
State Fair,"Music,Romance",1945
Tango,"Drama,Foreign,Romance",1998
Donnie Darko,"Fantasy,Drama,Mystery",2001
Saving Private Perez,"Action,Comedy,Foreign",2011
Character,"Drama,Foreign,History",1997
Spun,"Comedy,Crime,Drama",2002
Life During Wartime,"Comedy,Drama",2009
Sympathy for Lady Vengeance,"Drama,Thriller",2005
Mean Machine,"Comedy,Drama",2001
Exiled,"Action,Crime,Thriller",2006
Blackthorn,"Adventure,Action,Western",2011
Lilya 4-ever,"Crime,Drama",2002
After.Life,"Drama,Horror,Mystery,Thriller",2010
Fugly,"Comedy,Drama,Thriller",2014
R.L. Stine's Monsterville: The Cabinet of Souls,"Comedy,Horror",2015
Airlift,"Thriller,Action,Drama,History",2016
Anne of Green Gables,"Drama,Family",1985
Falcon Rising,"Adventure,Action",2014
The Sweeney,"Action,Drama,Crime",2012
Sexy Beast,"Crime,Drama,Thriller",2000
Easy Money,"Drama,Thriller,Crime",2010
Whale Rider,"Drama,Family",2003
Paa,"Drama,Family,Foreign",2009
Cargo,"Thriller,Mystery,Science Fiction",2009
High School Musical,"Comedy,Drama,Family,Music,TV Movie",2006
Love and Death on Long Island,"Drama,Romance,Foreign",1997
Night Watch,"Fantasy,Action,Thriller",2004
The Crying Game,"Romance,Crime,Drama,Thriller",1992
Survival of the Dead,"Horror,Science Fiction",2010
Annie Hall,"Comedy,Drama,Romance",1977
The Greatest Show on Earth,"Action,Drama,Romance",1952
Monster's Ball,"Drama,Romance",2001
Leaving Las Vegas,"Drama,Romance",1995
Hansel and Gretel Get Baked,"Horror,Comedy",2013
The Front Page,"Romance,Drama,Comedy",1974
The Kids Are All Right,"Comedy,Drama",2010
They Live,"Action,Horror,Science Fiction,Thriller",1988
The Great Escape,"Adventure,Drama,History,Thriller,War",1963
The Last Exorcism Part II,"Horror,Thriller",2013
Scoop,"Comedy,Mystery",2006
The Wash,"Action,Comedy",2001
3 Strikes,"Action,Comedy,Romance",2000
The Cooler,"Drama,Romance",2003
The Misfits,"Drama,Action,Romance",1961
The Night Listener,"Drama,Thriller",2006
The Jerky Boys,"Comedy,Crime",1995
The Orphanage,"Horror,Drama,Thriller",2007
A Haunted House 2,"Comedy,Horror",2014
The Rules of Attraction,"Comedy,Drama,Romance",2002
Topaz,"Action,Drama,Mystery,Thriller",1969
Let's Go to Prison,"Comedy,Crime",2006
Four Rooms,"Crime,Comedy",1995
Secretary,"Comedy,Drama,Romance",2002
Waiting for Guffman,"Music,Comedy",1996
Love Stinks,"Comedy,Romance",1999
You Kill Me,"Comedy,Crime,Thriller,Romance",2007
Thumbsucker,"Comedy,Drama",2005
Red State,"Horror,Action,Thriller",2011
Samsara,"Drama,Documentary",2011
The Barbarians,"Fantasy,Adventure",1987
The Art of Getting By,"Drama,Romance",2011
Zipper,"Thriller,Drama",2015
Poolhall Junkies,"Comedy,Drama,Thriller",2002
Holy Motors,"Drama,Fantasy",2012
Shooting Fish,"Crime,Comedy,Romance",1997
Prison,"Crime,Drama,Horror,Thriller",1988
The Big Tease,"Comedy,Foreign",1999
Trust,"Crime,Drama,Thriller",2010
An Everlasting Piece,"Comedy,Crime",2000
Among Giants,"Comedy,Romance",1998
The Velocity of Gary,"Drama,Romance",1999
Stake Land,"Drama,Horror,Action,Thriller,Science Fiction",2010
Another Happy Day,"Comedy,Drama",2011
A Lonely Place to Die,"Adventure,Action,Thriller,Crime",2011
Nothing,"Comedy,Fantasy,Science Fiction",2003
1776,"Drama,Comedy,History,Music",1972
Inescapable,"Thriller,Romance",2012
Hell's Angels,"Action,Drama,History",1930
Purple Violets,"Comedy,Drama,Romance",2007
How to Fall in Love,"Comedy,Romance,TV Movie",2012
The Perfect Wave,"Romance,Adventure,Drama",2014
A Man for All Seasons,"Drama,History",1966
Gone with the Wind,"Drama,Romance,War",1939
Major Dundee,"War,Western",1965
Annie Get Your Gun,"Action,Comedy,Music,Romance,Western",1950
Four Lions,"Comedy,Crime,Drama",2010
Defendor,"Drama,Action,Comedy,Crime",2009
The Pirate,"Music,Romance",1948
The Good Heart,"Drama,Comedy,Romance",2009
The History Boys,"Comedy,Drama",2006
Chain of Command,"Thriller,Adventure,Action",2015
Menace II Society,"Drama,Action,Crime",1993
The Ballad of Cable Hogue,"Action,Comedy,Western",1970
In Cold Blood,"Crime,Drama",1967
Harper,"Action,Drama,Thriller,Crime,Mystery",1966
Frenzy,"Crime,Drama,Mystery,Thriller",1972
The Witch,"Mystery,Horror",2016
I Got the Hook Up,"Action,Comedy",1998
She's the One,"Comedy,Romance",1996
The Secret in Their Eyes,"Crime,Drama,Mystery,Romance",2009
Train,"Horror,Thriller",2008
Evil Dead II,"Horror,Comedy,Fantasy",1987
Pootie Tang,"Action,Comedy",2001
Sharknado,"TV Movie,Horror",2013
The Other Conquest,"Drama,Foreign",1999
Troll Hunter,"Fantasy,Horror",2010
Ira & Abby,"Comedy,Romance",2006
Winter Passing,"Comedy,Drama",2006
The Masked Saint,"Crime,Action",2016
The Betrayed,"Crime,Drama,Mystery,Thriller",2008
Taxman,"Action,Crime,Comedy,Thriller",1999
02:13,"Horror,Thriller,Mystery",2009
"Batman: The Dark Knight Returns, Part 2","Action,Animation",2013
In the Name of the King III,"Action,Adventure,Drama,Fantasy",2013
Wicked Blood,"Action,Drama,Thriller",2014
Lords of London,"Crime,Mystery,Thriller",2014
High Anxiety,"Comedy,Music",1977
March of the Penguins,"Documentary,Family",2005
Margin Call,"Thriller,Drama",2011
Choke,"Comedy,Drama",2008
City of God,"Drama,Crime",2002
Human Traffic,"Comedy,Drama",1999
To Write Love on Her Arms,"Drama,Music",2015
The Dead Girl,"Mystery,Drama,Crime,Thriller",2006
A Christmas Story,"Comedy,Family",1983
Bella,"Drama,Romance",2006
Class of 1984,"Action,Drama,Horror,Crime,Thriller",1982
Dreaming of Joseph Lees,"Romance,Drama",1999
Rosemary's Baby,"Horror,Drama,Mystery",1968
